Event_Start,Event_End,Period_Start,Period_End,Country,Store_Region,Store,PS_BU,Team_Name,Team,Subteam_Name,Subteam,Brand,Nat_UPC,Item_Description,Size,UOM,Currency,Unit_Sales,Dollar_Sales,Dollar_Allowance,Percent_Allowance,Total_Dollar_Allowance,Total_Percent_Allowance,Invoice,Total_Allowance,PrimeId,Account,Transaction_Date,Lookback,LookbackApprovalDate,Bill_Type,Event_ID,Lawson_ID,LOC,Deduction_Type,Event_Enterer,Event_Approver,ScanbackId,Owner_Region,Scanback_Description
01/01/2026,01/31/2026,01/01/2026,01/31/2026,USA,FL,Ft Lauderdale,10117,Grocery,100,"Baking, Meals",1000,KSTRNA,0086663100020,"OIL OLIVE EXTRA VIRGIN PREMIUM",16.9,FZ,USD,1,29.99,2,0,2,0,,-2,,,,,,SPDA,10120838,,,,,,,,"SPDA 2026 JAN Kosterina 2.00"
01/01/2026,01/31/2026,01/01/2026,01/31/2026,USA,FL,Coral Gables,10190,Grocery,100,"Baking, Meals",1000,KSTRNA,0086663100020,"OIL OLIVE EXTRA VIRGIN PREMIUM",16.9,FZ,USD,2,59.98,2,0,4,0,,-4,,,,,,SPDA,10120838,,,,,,,,"SPDA 2026 JAN Kosterina 2.00"
01/01/2026,01/31/2026,01/01/2026,01/31/2026,USA,FL,Miami,10191,Grocery,100,"Baking, Meals",1000,KSTRNA,0086663100020,"OIL OLIVE EXTRA VIRGIN PREMIUM",16.9,FZ,USD,1,29.99,2,0,2,0,,-2,,,,,,SPDA,10120838,,,,,,,,"SPDA 2026 JAN Kosterina 2.00"
01/01/2026,01/31/2026,01/01/2026,01/31/2026,USA,FL,Naples,10192,Grocery,100,"Baking, Meals",1000,KSTRNA,0086663100020,"OIL OLIVE EXTRA VIRGIN PREMIUM",16.9,FZ,USD,1,29.99,2,0,2,0,,-2,,,,,,SPDA,10120838,,,,,,,,"SPDA 2026 JAN Kosterina 2.00"
01/01/2026,01/31/2026,01/01/2026,01/31/2026,USA,FL,Pembroke Pines,10193,Grocery,100,"Baking, Meals",1000,KSTRNA,0086663100020,"OIL OLIVE EXTRA VIRGIN PREMIUM",16.9,FZ,USD,1,29.99,2,0,2,0,,-2,,,,,,SPDA,10120838,,,,,,,,"SPDA 2026 JAN Kosterina 2.00"
01/01/2026,01/31/2026,01/01/2026,01/31/2026,USA,FL,South Beach,10285,Grocery,100,"Baking, Meals",1000,KSTRNA,0086663100020,"OIL OLIVE EXTRA VIRGIN PREMIUM",16.9,FZ,USD,1,29.99,2,0,2,0,,-2,,,,,,SPDA,10120838,,,,,,,,"SPDA 2026 JAN Kosterina 2.00"
01/01/2026,01/31/2026,01/01/2026,01/31/2026,USA,FL,Clearwater,10515,Grocery,100,"Baking, Meals",1000,KSTRNA,0086663100020,"OIL OLIVE EXTRA VIRGIN PREMIUM",16.9,FZ,USD,1,29.99,2,0,2,0,,-2,,,,,,SPDA,10120838,,,,,,,,"SPDA 2026 JAN Kosterina 2.00"
01/01/2026,01/31/2026,01/01/2026,01/31/2026,USA,FL,Jacksonville Beach,10648,Grocery,100,"Baking, Meals",1000,KSTRNA,0086663100020,"OIL OLIVE EXTRA VIRGIN PREMIUM",16.9,FZ,USD,1,29.99,2,0,2,0,,-2,,,,,,SPDA,10120838,,,,,,,,"SPDA 2026 JAN Kosterina 2.00"
01/01/2026,01/31/2026,01/01/2026,01/31/2026,USA,FL,Midtown Tampa,10723,Grocery,100,"Baking, Meals",1000,KSTRNA,0086663100020,"OIL OLIVE EXTRA VIRGIN PREMIUM",16.9,FZ,USD,1,29.99,2,0,2,0,,-2,,,,,,SPDA,10120838,,,,,,,,"SPDA 2026 JAN Kosterina 2.00"
01/01/2026,01/31/2026,01/01/2026,01/31/2026,USA,FL,Miami Midtown,10781,Grocery,100,"Baking, Meals",1000,KSTRNA,0086663100020,"OIL OLIVE EXTRA VIRGIN PREMIUM",16.9,FZ,USD,1,29.99,2,0,2,0,,-2,,,,,,SPDA,10120838,,,,,,,,"SPDA 2026 JAN Kosterina 2.00"
