Event_Start,Event_End,Period_Start,Period_End,Country,Store_Region,Store,PS_BU,Team_Name,Team,Subteam_Name,Subteam,Brand,Nat_UPC,Item_Description,Size,UOM,Currency,Unit_Sales,Dollar_Sales,Dollar_Allowance,Percent_Allowance,Total_Dollar_Allowance,Total_Percent_Allowance,Invoice,Total_Allowance,PrimeId,Account,Transaction_Date,Lookback,LookbackApprovalDate,Bill_Type,Event_ID,Lawson_ID,LOC,Deduction_Type,Event_Enterer,Event_Approver,ScanbackId,Owner_Region,Scanback_Description
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,FL,Jacksonville,10253,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,2,12.58,0.68,0,1.36,0,,-1.36,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,MA,Walter Reed,10777,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,2,12.58,0.68,0,1.36,0,,-1.36,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,FL,Sarasota,10189,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,2,12.58,0.68,0,1.36,0,,-1.36,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,FL,Ft Lauderdale,10117,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,2,12.58,0.68,0,1.36,0,,-1.36,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,MW,Cincinnati,10287,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,3,18.87,0.68,0,2.04,0,,-2.04,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,FL,Winter Park North,10580,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,3,18.87,0.68,0,2.04,0,,-2.04,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,FL,Boca Raton,10130,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,3,18.87,0.68,0,2.04,0,,-2.04,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,MW,Naperville,10129,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,3,18.87,0.68,0,2.04,0,,-2.04,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,FL,Clearwater,10515,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,3,18.87,0.68,0,2.04,0,,-2.04,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,MW,Lexington,10577,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,3,18.87,0.68,0,2.04,0,,-2.04,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,FL,Bayhill,10194,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,3,18.87,0.68,0,2.04,0,,-2.04,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,MA,Annapolis,10228,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1,6.29,0.68,0,0.68,0,,-0.68,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,FL,Altamonte Springs,10516,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1,6.29,0.68,0,0.68,0,,-0.68,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
11/11/2024,12/08/2024,11/01/2024,11/30/2024,USA,MW,Sauganash,10170,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1,6.29,0.68,0,0.68,0,,-0.68,,,,,,TPR,894773,,,,,,,,"PROMO 2024 GRO NOV B KOSTERINA 0.68"
