Event_Start,Event_End,Period_Start,Period_End,Country,Store_Region,Store,PS_BU,Team_Name,Team,Subteam_Name,Subteam,Brand,Nat_UPC,Item_Description,Size,UOM,Currency,Unit_Sales,Dollar_Sales,Dollar_Allowance,Percent_Allowance,Total_Dollar_Allowance,Total_Percent_Allowance,Invoice,Total_Allowance,PrimeId,Account,Transaction_Date,Lookback,LookbackApprovalDate,Bill_Type,Event_ID,Lawson_ID,LOC,Deduction_Type,Event_Enterer,Event_Approver,ScanbackId,Owner_Region,Scanback_Description
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MA,Friendship Heights,10211,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,2,13.98,0.45,0,0.9,0,,-0.9,AMZ_PRIME,,,,,PA,906311,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.45"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MW,Birmingham,10641,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,2,13.98,0.45,0,0.9,0,,-0.9,AMZ_PRIME,,,,,PA,906311,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.45"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MW,East Lansing,10541,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,2,13.98,0.45,0,0.9,0,,-0.9,AMZ_PRIME,,,,,PA,906311,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.45"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MA,Virginia Beach,10466,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,2,13.98,0.45,0,0.9,0,,-0.9,AMZ_PRIME,,,,,PA,906311,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.45"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,FL,Boca Raton,10130,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,3,20.97,0.45,0,1.35,0,,-1.35,AMZ_PRIME,,,,,PA,906311,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.45"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MW,Wauwatosa,10586,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,3,20.97,0.45,0,1.35,0,,-1.35,AMZ_PRIME,,,,,PA,906311,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.45"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MW,Naperville,10129,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,3,20.97,0.45,0,1.35,0,,-1.35,AMZ_PRIME,,,,,PA,906311,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.45"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,FL,Palm Beach Gardens,10188,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,4,27.96,0.45,0,1.8,0,,-1.8,AMZ_PRIME,,,,,PA,906311,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.45"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,FL,University Station,10642,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,4,27.96,0.45,0,1.8,0,,-1.8,AMZ_PRIME,,,,,PA,906311,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.45"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MW,Naperville,10129,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,5,34.95,0.45,0,2.25,0,,-2.25,AMZ_PRIME,,,,,PA,906311,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.45"
