Event_Start,Event_End,Period_Start,Period_End,Country,Store_Region,Store,PS_BU,Team_Name,Team,Subteam_Name,Subteam,Brand,Nat_UPC,Item_Description,Size,UOM,Currency,Unit_Sales,Dollar_Sales,Dollar_Allowance,Percent_Allowance,Total_Dollar_Allowance,Total_Percent_Allowance,Invoice,Total_Allowance,PrimeId,Account,Transaction_Date,Lookback,LookbackApprovalDate,Bill_Type,Event_ID,Lawson_ID,LOC,Deduction_Type,Event_Enterer,Event_Approver,ScanbackId,Owner_Region,Scanback_Description
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SW,Veterans,10202,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.99,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SP,Downtown LA,10546,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,2,27.98,0.15,0,0.3,0,,-0.3,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SP,River Road,10475,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.99,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SP,Tenaya,10424,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.99,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SP,Tempe (New),10347,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.99,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SP,Pasadena,10108,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.99,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SP,Torrance,10105,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.99,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SP,Hillcrest,10072,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,2,27.98,0.15,0,0.3,0,,-0.3,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SO,Huntsville,10591,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SO,Germantown,10562,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SO,Poplar Avenue,10480,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SO,Chattanooga,10409,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SO,Asheville,10351,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,SO,Green Hills,10241,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,RM,Overland Park New,10800,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,RM,Bradburn,10556,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
